placeDcid,placeName,Count_HousingUnit_HomeValueUpto49999USDollar,Count_HousingUnit_HomeValue50000To99999USDollar,Count_HousingUnit_HomeValue100000To199999USDollar,Count_HousingUnit_HomeValue200000To299999USDollar,Count_HousingUnit_HomeValue300000To499999USDollar,Count_HousingUnit_HomeValue500000To999999USDollar,Count_HousingUnit_WithRent_Upto100USDollar,Count_HousingUnit_WithRent_100To149USDollar,Count_HousingUnit_WithRent_150To199USDollar,Count_HousingUnit_WithRent_200To249USDollar,Count_HousingUnit_WithRent_250To299USDollar,Count_HousingUnit_WithRent_300To349USDollar,Count_HousingUnit_WithRent_350To399USDollar,Count_HousingUnit_WithRent_400To449USDollar,Count_HousingUnit_WithRent_450To499USDollar
"geoId/01","Alabama",,,,,,,1402,1677,4707,11747,11689,11798,12059,13774,19207
"geoId/02","Alaska",,,,,,,236,115,115,361,489,629,952,1049,768
"geoId/04","Arizona",,,,,,,1618,1385,2935,7335,5523,5917,6953,8840,11542
"geoId/05","Arkansas",,,,,,,1115,1487,2817,8571,7534,7213,8573,10718,13448
"geoId/06","California",,,,,,,9307,7950,10823,24891,68143,41768,34765,36142,43561
"geoId/08","Colorado",,,,,,,2386,1521,2472,9419,6629,5312,5107,6547,6087
"geoId/09","Connecticut",,,,,,,1808,1318,2762,8800,6737,6670,5673,5581,4599
"geoId/10","Delaware",,,,,,,290,199,387,1517,1049,1141,874,1021,1155
"geoId/11","District of Columbia",,,,,,,1490,1176,1242,4067,1885,1952,2048,1696,1282
"geoId/12","Florida",,,,,,,2846,3876,10179,25148,18302,17911,16979,18825,21421
"geoId/13","Georgia",,,,,,,2352,3415,7411,15803,14296,15218,15603,19055,23000
"geoId/15","Hawaii",,,,,,,526,477,1190,2878,1377,1374,1249,1187,1232
"geoId/16","Idaho",,,,,,,458,396,1020,2566,2265,2525,2745,4112,5551
"geoId/17","Illinois",,,,,,,7182,5788,10829,25385,20834,21894,20844,23297,28421
"geoId/18","Indiana",,,,,,,3049,2354,4304,12660,10137,9832,11336,15017,18603
"geoId/19","Iowa",,,,,,,1169,1071,1808,5908,4737,5630,7945,10522,13014
"geoId/20","Kansas",,,,,,,1199,707,1515,5679,4553,4539,6292,8759,11115
"geoId/21","Kentucky",,,,,,,3257,2153,5324,13541,11169,10116,10555,14253,18145
"geoId/22","Louisiana",,,,,,,860,2278,4256,10128,11864,10153,10054,11633,13542
"geoId/23","Maine",,,,,,,611,629,1375,4850,4162,3796,3056,3336,3551
"geoId/24","Maryland",,,,,,,2183,2450,4515,10206,7365,7453,6295,6399,5196
"geoId/25","Massachusetts",,,,,,,4368,5352,5924,16977,30357,18812,17330,17036,13602
"geoId/26","Michigan",,,,,,,4633,3412,6082,22935,16772,16535,15354,18988,22837
"geoId/27","Minnesota",,,,,,,3519,2613,3730,11203,12258,10302,9633,10354,12484
"geoId/28","Mississippi",,,,,,,663,1170,3926,7369,7606,7254,6754,8227,10442
"geoId/29","Missouri",,,,,,,1351,2000,4198,12971,11972,12914,13378,16402,21560
"geoId/30","Montana",,,,,,,894,541,1116,2429,1984,2594,2127,3593,4387
"geoId/31","Nebraska",,,,,,,1199,825,1210,3672,3443,3445,4186,5562,7146
"geoId/32","Nevada",,,,,,,522,578,915,2255,1903,2179,2172,3014,4031
"geoId/33","New Hampshire",,,,,,,269,507,1025,2141,1866,1906,1848,2003,1695
"geoId/34","New Jersey",,,,,,,3893,3720,5814,21191,14871,12378,9893,9677,8464
"geoId/35","New Mexico",,,,,,,1089,977,1935,4558,3849,3681,3825,5362,5619
"geoId/36","New York",,,,,,,5387,8187,15566,60666,69721,49036,46561,45908,44351
"geoId/37","North Carolina",,,,,,,4848,3376,7032,17355,16338,17304,17242,22784,28206
"geoId/38","North Dakota",,,,,,,528,494,693,1490,1722,1738,1675,2606,3802
"geoId/39","Ohio",,,,,,,11409,6642,9874,34897,21532,22101,22655,31633,43083
"geoId/40","Oklahoma",,,,,,,1803,1512,2658,7164,6867,7361,7658,10348,13302
"geoId/41","Oregon",,,,,,,960,1156,2668,7381,5379,5250,4195,6131,7626
"geoId/42","Pennsylvania",,,,,,,6635,5158,9427,32542,23633,23763,22070,27504,30385
"geoId/44","Rhode Island",,,,,,,968,614,903,7009,3832,3892,3218,2224,2581
"geoId/45","South Carolina",,,,,,,1053,1819,3590,7176,7229,7996,8487,10639,11267
"geoId/46","South Dakota",,,,,,,668,496,973,2240,1932,2358,3292,3556,4700
"geoId/47","Tennessee",,,,,,,4816,2910,5454,15952,11424,12035,13662,17246,20587
"geoId/48","Texas",,,,,,,7759,6203,13790,34473,27787,29391,29898,37760,42581
"geoId/49","Utah",,,,,,,437,566,705,3042,2031,2830,3075,3353,3935
"geoId/50","Vermont",,,,,,,156,99,301,1584,1497,1475,1375,1264,904
"geoId/51","Virginia",,,,,,,3293,2970,4816,12304,10387,10233,8888,9814,12458
"geoId/53","Washington",,,,,,,2350,2032,4796,13907,9824,9346,8181,8561,9380
"geoId/54","West Virginia",,,,,,,1080,769,2110,5168,4023,4426,4421,5864,7552
"geoId/55","Wisconsin",,,,,,,1494,1271,2595,8825,12617,10597,10664,12753,15516
"geoId/56","Wyoming",,,,,,,140,163,209,1076,851,924,1194,1200,1459
"geoId/72","Puerto Rico",,,,,,,14006,11090,10321,9963,10456,13538,16835,19097,19252